"Year","Make","Name","Kilometers_Driven","TransmissionManual","Fuel_econ_kmpl","Engine_cc","Power_bhp","Seats","Owner_TypeSecond","Owner_TypeThird","Owner_TypeFourth & Above","Fuel_TypeDiesel","Fuel_TypeElectric","Fuel_TypePetrol","Price_lakh"
2013,"Maruti","Maruti Swift VDI",65650,1,28.4,1248,74,5,0,0,0,1,0,0,3.85
2015,"Hyundai","Hyundai Grand i10 Sportz",54000,1,18.9,1197,82,5,0,1,0,0,0,1,3.6
2015,"Volkswagen","Volkswagen Vento 2013-2015 1.6 Comfortline",39000,1,15.04,1598,103.2,5,0,0,0,0,0,1,3.99
2017,"Renault","Renault KWID RXT",16542,1,25.17,799,53.3,5,0,0,0,0,0,1,3.3
2010,"Hyundai","Hyundai i10 Asta",32000,1,20.36,1197,78.9,5,0,0,0,0,0,1,2.07
2010,"Nissan","Nissan X-Trail SLX AT",121812,0,9.49,1995,147.6,5,0,0,0,1,0,0,7.75
2010,"Maruti","Maruti Zen Estilo VXI BSIII",39300,1,18.2,998,67.1,5,0,0,0,0,0,1,2.25
2017,"Toyota","Toyota Innova Crysta 2.4 GX MT 8S",22000,1,13.68,2393,147.8,8,0,0,0,1,0,0,16.5
2010,"Ford","Ford Figo Diesel Titanium",72000,1,20,1399,68,5,0,0,0,1,0,0,2.75
2015,"Mercedes-Benz","Mercedes-Benz New C-Class C 200 CGI Avantgarde",58000,0,11.74,1796,186,5,0,0,0,0,0,1,26.7
2011,"Mercedes-Benz","Mercedes-Benz New C-Class 200 CDI Classic",65000,1,15.8,2148,170,5,1,0,0,1,0,0,10
2016,"Tata","Tata Indica V2 eLS",178000,1,25,1396,69,5,0,0,0,1,0,0,2.5
2012,"Audi","Audi A4 2.0 TDI Multitronic",65664,0,16.55,1968,140,5,0,0,0,1,0,0,13.5
2007,"Honda","Honda City ZX CVT",63000,0,16.4,1497,78,5,1,0,0,0,0,1,1.85
2019,"Mercedes-Benz","Mercedes-Benz C-Class Progressive C 220d",15369,0,0,1950,194,5,0,0,0,1,0,0,35.67
2016,"Maruti","Maruti Ertiga SHVS VDI",63000,1,24.52,1248,88.5,7,0,0,0,1,0,0,8.15
2018,"Hyundai","Hyundai Creta 1.4 E Plus Diesel",13000,1,22.1,1396,88.7,5,0,0,0,1,0,0,10.5
2008,"Porsche","Porsche Cayenne 2009-2014 Turbo",73000,0,8.5,4806,500,5,0,0,0,0,0,1,14.5
2015,"Mahindra","Mahindra XUV500 W8 4WD",55729,1,15.1,2179,140,7,0,0,0,1,0,0,9.65
2012,"Hyundai","Hyundai i10 Sportz 1.2 AT",45178,0,16.95,1197,78.9,5,0,0,0,0,0,1,3.48
2015,"Nissan","Nissan Terrano XV D Pre",56066,1,19.64,1461,108.5,5,0,0,0,1,0,0,6.92
2016,"Honda","Honda Brio VX AT",37300,0,16.5,1198,86.8,5,1,0,0,0,0,1,6.46
2014,"Audi","Audi A6 2.0 TDI Design Edition",56000,0,18.53,1968,187.74,5,1,0,0,1,0,0,29.5
2006,"Toyota","Toyota Innova 2.0 G1",230000,1,12.4,1998,132,8,0,1,0,0,0,1,4.5
2012,"Toyota","Toyota Innova 2.5 VX 7 STR BSIV",104000,1,12.8,2494,102,7,0,0,0,1,0,0,11.75
2012,"Maruti","Maruti Swift VDI",95100,1,22.9,1248,74,5,0,0,0,1,0,0,3.75
2017,"Tata","Tata Zest Revotron 1.2T XE",70000,1,17.57,1193,88.7,5,0,0,0,0,0,1,4.5
2016,"Honda","Honda Amaze SX i-VTEC",54944,1,18,1198,86.7,5,0,0,0,0,0,1,4.82
2012,"Ford","Ford Figo Diesel ZXI",70337,1,20,1399,68,5,0,0,0,1,0,0,2.8
2013,"Maruti","Maruti Ritz VDi",99638,1,23.2,1248,73.94,5,0,0,0,1,0,0,3.11
2009,"Honda","Honda City i VTEC E",52000,1,17.8,1497,117.3,5,0,0,0,0,0,1,3.25
2011,"BMW","BMW 5 Series 2003-2012 525d",75000,0,16.73,1995,218,5,1,0,0,1,0,0,13.9
2009,"Hyundai","Hyundai i10 Sportz 1.2",95980,1,20.36,1197,78.9,5,0,0,0,0,0,1,2.25
2016,"Hyundai","Hyundai Grand i10 Sportz",16000,1,18.9,1197,82,5,0,0,0,0,0,1,5.75
2016,"Honda","Honda Amaze SX i-VTEC",18949,1,17.8,1198,86.7,5,0,0,0,0,0,1,5
2014,"Toyota","Toyota Fortuner 4x2 Manual",107000,1,13,2982,168.5,7,0,0,0,1,0,0,16.5
2018,"Audi","Audi A6 2011-2015 35 TDI Premium",48367,0,17.68,1968,174.33,5,0,0,0,1,0,0,39.58
2013,"Ford","Ford Ecosport 1.5 DV5 MT Titanium Optional",57000,1,22.7,1498,89.84,5,0,0,0,1,0,0,5.5
2014,"Mahindra","Mahindra XUV500 W8 2WD",58000,1,15.1,2179,140,7,0,0,0,1,0,0,8.1
2015,"Honda","Honda Amaze SX i-DTEC",30000,1,25.8,1498,98.6,5,0,0,0,1,0,0,3.5
2013,"Volkswagen","Volkswagen Polo Diesel Highline 1.2L",34212,1,22.07,1199,73.9,5,0,0,0,1,0,0,2.79
2010,"Hyundai","Hyundai Verna Transform SX VGT CRDi",70002,1,16.2,1493,110,5,0,0,0,1,0,0,3.45
2016,"Maruti","Maruti Wagon R VXI BS IV",62000,1,18.9,998,67.1,5,0,0,0,0,0,1,4.45
2010,"Volkswagen","Volkswagen Polo Petrol Highline 1.6L",62001,1,15.26,1598,103.5,5,0,0,0,0,0,1,2.65
2011,"Hyundai","Hyundai i20 1.4 CRDi Sportz",78958,1,23,1396,90,5,1,0,0,1,0,0,3.8
2014,"Hyundai","Hyundai i20 Asta 1.2",30180,1,18.5,1197,82.85,5,0,0,0,0,0,1,4.65
2017,"Datsun","Datsun GO Plus T Petrol",32851,1,19.83,1198,67,7,0,0,0,0,0,1,3.95
2010,"Audi","Audi A4 3.0 TDI Quattro Premium",30000,0,14.94,2967,241.4,5,0,0,0,1,0,0,9.8
2009,"Hyundai","Hyundai i20 2015-2017 Asta",66000,1,17,1197,80,5,1,0,0,0,0,1,2.7
2010,"Maruti","Maruti Omni 5 Str STD",93850,1,14,796,35,5,0,0,0,0,0,1,2.41
2014,"Toyota","Toyota Etios Liva 1.2 G",53000,1,17.71,1197,78.9,5,0,0,0,0,0,1,3.9
2011,"Jaguar","Jaguar XF 3.0 Litre S Premium Luxury",78000,0,14.74,2993,270.9,5,1,0,0,1,0,0,24
2012,"Mahindra","Mahindra XUV500 W8 2WD",65000,1,16,2179,140,7,1,0,0,1,0,0,5.75
2014,"Hyundai","Hyundai Verna 1.6 SX CRDI (O) AT",40000,0,22.32,1582,126.32,5,0,0,0,1,0,0,5.25
2017,"Toyota","Toyota Innova Crysta 2.8 ZX AT",30000,0,11.36,2755,171.5,7,0,0,0,1,0,0,19.25
2017,"Maruti","Maruti Eeco 5 Seater AC",38053,1,15.1,1196,73,5,0,0,0,0,0,1,3.91
2014,"Tata","Tata Nano Twist XT",25500,1,25.4,624,37.5,4,0,0,0,0,0,1,2.15
2015,"BMW","BMW 3 Series 320d Luxury Line",56087,0,22.69,1995,190,5,0,0,0,1,0,0,20.75
2010,"Honda","Honda Civic 2006-2010 1.8 V MT",71088,1,13.5,1799,130,5,0,0,0,0,0,1,3.35
2014,"Toyota","Toyota Innova 2.5 VX (Diesel) 7 Seater",55000,1,12.99,2494,100.6,7,0,0,0,1,0,0,11.11
2014,"Volvo","Volvo V40 Cross Country D3",32700,0,23.3,1984,150,5,0,0,0,1,0,0,20
2016,"Nissan","Nissan Micra XV CVT",39882,0,19.15,1198,75.94,5,0,0,0,0,0,1,6.55
2009,"BMW","BMW 5 Series 2010-2013 525i",128000,0,10.8,2497,215,5,0,0,0,0,0,1,7
2016,"Maruti","Maruti Vitara Brezza VDi",55000,1,24.3,1248,88.5,5,0,0,0,1,0,0,7.5
2014,"Mercedes-Benz","Mercedes-Benz B Class B200 CDI",53753,0,15,2143,107.3,5,1,0,0,1,0,0,16.75
2018,"Hyundai","Hyundai Verna CRDi 1.6 SX Option",10250,1,22,1582,126.2,5,0,0,0,1,0,0,10.95
2011,"Maruti","Maruti Wagon R LXI BS IV",43874,1,18.9,998,67.1,5,0,0,0,0,0,1,2.45
2017,"Tata","Tata Nano XTA",32684,0,21.9,624,37.48,4,0,0,0,0,0,1,3.23
2014,"Mahindra","Mahindra Scorpio VLX",42000,1,12.05,2179,120,8,0,0,0,1,0,0,7.75
2009,"Mercedes-Benz","Mercedes-Benz New C-Class 200 K AT",28352,0,11.7,1796,178,5,0,0,0,0,0,1,9.35
2007,"Honda","Honda CR-V 2.4 MT",47700,1,10.8,2354,152,5,1,0,0,0,0,1,5.25
2015,"Volkswagen","Volkswagen Vento 1.5 TDI Comfortline AT",55000,0,21.21,1498,103.2,5,0,0,0,1,0,0,7.25
2017,"Maruti","Maruti Ciaz VXi Plus",44285,1,20.73,1373,91.1,5,0,0,0,0,0,1,7.47
2016,"Mahindra","Mahindra XUV500 AT W10 FWD",54000,0,16,2179,140,7,0,0,0,1,0,0,13.25
2016,"Maruti","Maruti Ritz VXI ABS",30232,1,21.1,1197,85.8,5,0,0,0,0,0,1,5.81
2014,"Maruti","Maruti Alto K10 VXI",88500,1,24.07,998,67.1,5,0,0,0,0,0,1,2.6
2017,"Mercedes-Benz","Mercedes-Benz SLC 43 AMG",13372,0,19,2996,362.07,2,0,0,0,0,0,1,54
2019,"Hyundai","Hyundai Verna VTVT 1.6 AT SX Plus",12645,0,17,1591,121.3,5,0,0,0,0,0,1,11.5
2010,"Maruti","Maruti Alto LXi BSIII",94385,1,19.7,796,46.3,5,1,0,0,0,0,1,1.6
2015,"BMW","BMW 1 Series 118d Base",31821,0,20.58,1995,143,5,0,0,0,1,0,0,17.22
2015,"Honda","Honda Jazz 1.2 V CVT i VTEC",12000,0,19,1199,88.7,5,0,0,0,0,0,1,6
2012,"Honda","Honda Civic 2006-2010 1.8 V MT",88578,1,13.5,1799,130,5,0,0,0,0,0,1,3.95
2014,"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Avantgarde",44965,0,19.27,2143,170,5,0,0,0,1,0,0,17.95
2014,"Honda","Honda Amaze SX i-DTEC",45044,1,25.8,1498,98.6,5,0,0,0,1,0,0,3.7
2016,"Maruti","Maruti Swift VVT VXI",34204,1,22,1197,81.8,5,0,0,0,0,0,1,5.43
2012,"Toyota","Toyota Fortuner 3.0 Diesel",91235,1,11.5,2982,171,7,0,0,0,1,0,0,13.49
2014,"Chevrolet","Chevrolet Beat LT Option",38800,1,18.6,1199,76.8,5,0,0,0,0,0,1,2.85
2013,"Skoda","Skoda Rapid 1.5 TDI Elegance",83000,1,21.14,1498,103.52,5,0,0,0,1,0,0,4.75
2018,"Maruti","Maruti Ciaz 1.4 Alpha",41283,1,20.73,1373,91.1,5,0,0,0,0,0,1,9.9
2013,"Audi","Audi RS5 Coupe",23000,0,11.05,2894,444,4,0,0,0,0,0,1,37
2014,"BMW","BMW 3 Series Luxury Line",48000,0,21.76,1995,190,5,0,0,0,1,0,0,26.5
2015,"Audi","Audi A4 2.0 TDI 177 Bhp Premium Plus",48214,0,17.11,1968,174.33,5,0,0,0,1,0,0,23.32
2016,"Maruti","Maruti Swift VDI",35000,1,22.9,1248,74,5,0,0,0,1,0,0,6.25
2010,"Mercedes-Benz","Mercedes-Benz S Class 2005 2013 S 500",35277,0,7.81,5461,362.9,5,0,0,0,0,0,1,30
2016,"Skoda","Skoda Rapid 1.5 TDI AT Elegance Plus Black Package",54620,0,21.66,1498,103.52,5,0,0,0,1,0,0,9.86
2012,"Skoda","Skoda Superb Elegance 2.0 TDI CR AT",136997,0,17.2,1968,138.1,5,0,0,0,1,0,0,8.5
2019,"Hyundai","Hyundai EON Magna Plus",14322,1,21.1,814,55.2,5,0,0,0,0,0,1,4.23
2012,"Volkswagen","Volkswagen Polo Diesel Trendline 1.2L",65634,1,22.07,1199,73.9,5,0,0,0,1,0,0,3.5
2016,"Datsun","Datsun GO NXT",6000,1,20.63,1198,67.06,5,0,0,0,0,0,1,2.5
2013,"Honda","Honda Brio S MT",33280,1,19.4,1198,86.8,5,0,0,0,0,0,1,2.39
2013,"Mercedes-Benz","Mercedes-Benz B Class B180",29000,0,14.8,1595,120.7,5,0,0,0,0,0,1,11.25
2015,"Honda","Honda City i DTEC V",42831,1,26,1498,98.6,5,0,0,0,1,0,0,7.11
2016,"Toyota","Toyota Innova 2.5 G (Diesel) 7 Seater",90000,1,12.99,2494,100.6,7,0,0,0,1,0,0,10.9
2017,"Maruti","Maruti Swift VXI Optional",24005,1,20.4,1197,81.8,5,0,0,0,0,0,1,6.2
2012,"Mahindra","Mahindra XUV500 W8 2WD",32792,1,15.1,2179,140,7,0,0,0,1,0,0,7.9
2014,"Ford","Ford Ecosport 1.5 DV5 MT Ambiente",147898,1,22.7,1498,89.84,5,0,0,0,1,0,0,4.42
2012,"Toyota","Toyota Fortuner 4x2 Manual",131765,1,13,2982,168.5,7,0,0,0,1,0,0,13.5
2013,"Volkswagen","Volkswagen Vento 1.5 Highline Plus AT 16 Alloy",65000,0,21.5,1498,108.5,5,0,0,0,1,0,0,6.25
2010,"Ford","Ford Figo Diesel Titanium",66123,1,20,1399,68,5,1,0,0,1,0,0,2.1
2015,"BMW","BMW X5 xDrive 30d",41000,0,15.3,2993,258,5,0,0,0,1,0,0,45
2017,"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Style",23550,0,19.27,2143,167.62,5,0,0,0,1,0,0,33.66
2012,"Honda","Honda Brio V MT",45000,1,19.4,1198,86.8,5,1,0,0,0,0,1,3.65
2013,"Hyundai","Hyundai i10 Magna 1.2",60000,1,20.36,1197,78.9,5,0,0,0,0,0,1,2.75
2016,"Mercedes-Benz","Mercedes-Benz GLC 220",44414,0,17.9,2143,170,5,0,0,0,1,0,0,42.5
2019,"Hyundai","Hyundai Grand i10 1.2 Kappa Asta",1000,1,18.9,1197,81.86,5,0,0,0,0,0,1,6.5
2012,"Audi","Audi A6 2011-2015 2.0 TDI Premium Plus",62500,0,17.68,1968,174.33,5,1,0,0,1,0,0,19
2013,"Volkswagen","Volkswagen Vento Petrol Highline AT",21000,0,14.4,1598,103.6,5,1,0,0,0,0,1,4.45
2017,"Mini","Mini Countryman Cooper D",8525,0,16.6,1998,112,5,1,0,0,1,0,0,23
2014,"Hyundai","Hyundai i20 Asta 1.4 CRDi",29000,1,22.54,1396,88.73,5,0,0,0,1,0,0,8.35
2014,"Audi","Audi A6 2011-2015 2.0 TDI Premium Plus",40000,0,17.68,1968,174.33,5,0,0,0,1,0,0,22.95
2012,"Chevrolet","Chevrolet Beat Diesel LT",88000,1,25.44,936,57.6,5,0,0,0,1,0,0,1.5
2012,"Skoda","Skoda Superb Elegance 1.8 TSI AT",53537,0,13.7,1798,157.75,5,0,0,0,0,0,1,6.89
2006,"Ford","Ford Fiesta 1.4 TDCi EXI Limited Edition",216000,1,17.8,1399,68,5,1,0,0,1,0,0,1.45
2014,"BMW","BMW 5 Series 520d Luxury Line",51000,0,22.48,1995,190,5,0,0,0,1,0,0,33.5
2007,"Chevrolet","Chevrolet Optra Magnum 1.6 LS BS3",118500,1,12.9,1598,102.5,5,0,0,0,0,0,1,1.25
2012,"Volkswagen","Volkswagen Polo Diesel Highline 1.2L",63000,1,22.07,1199,73.9,5,0,0,0,1,0,0,4.2
2015,"Renault","Renault Lodgy 110PS RxZ 8 Seater",25000,1,19.98,1461,108.5,8,0,0,0,1,0,0,6.75
2014,"Mercedes-Benz","Mercedes-Benz E-Class E250 CDI Avantgrade",37382,0,13,2143,201.1,5,0,0,0,1,0,0,32
2017,"Maruti","Maruti Baleno Alpha",24773,1,21.4,1197,83.1,5,0,0,0,0,0,1,7.5
2012,"Hyundai","Hyundai Verna 1.6 SX",62000,1,22.32,1582,126.32,5,0,0,0,1,0,0,4.6
2017,"Hyundai","Hyundai i10 Magna 1.1",52340,1,19.81,1086,68.05,5,0,0,0,0,0,1,4.04
2016,"Mahindra","Mahindra Scorpio 1.99 S10 4WD",56739,1,15.4,1997,120,7,0,0,0,1,0,0,10.31
2018,"Land","Land Rover Range Rover 2.2L Dynamic",36091,0,12.7,2179,187.7,5,0,0,0,1,0,0,55.76
2010,"Ford","Ford Figo Diesel ZXI",120000,1,20,1399,68,5,0,0,0,1,0,0,2.6
2016,"Maruti","Maruti Ertiga ZDI",33000,1,25.47,1248,88.5,7,0,0,0,1,0,0,8.5
2007,"Honda","Honda City 1.5 GXI",60006,1,0,1497,98.6,5,0,0,0,0,0,1,2.95
2014,"Honda","Honda Amaze S i-Dtech",52000,1,25.8,1498,98.6,5,0,0,0,1,0,0,3.5
2015,"Hyundai","Hyundai i10 Magna",43571,1,20.36,1197,78.9,5,0,0,0,0,0,1,3.55
2013,"Honda","Honda Amaze S i-Dtech",50000,1,25.8,1498,98.6,5,0,0,0,1,0,0,3.25
2008,"Skoda","Skoda Laura Ambiente",113000,1,17.5,1896,106,5,0,0,0,1,0,0,4.5
2014,"Renault","Renault Duster 85PS Diesel RxL",90000,1,19.87,1461,83.8,5,0,0,0,1,0,0,5.35
2017,"Mahindra","Mahindra NuvoSport N6",29000,1,17.45,1493,100,7,1,0,0,1,0,0,6.5
2016,"Maruti","Maruti Vitara Brezza ZDi Plus Dual Tone",20000,1,24.3,1248,88.5,5,0,0,0,1,0,0,9
2016,"Hyundai","Hyundai i20 Asta Option 1.2",61012,1,18.6,1197,81.83,5,0,0,0,0,0,1,6
2009,"Skoda","Skoda Fabia 1.4 MPI Ambiente",87459,1,14.7,1390,85,5,0,0,0,0,0,1,2.75
2010,"Tata","Tata Indigo eCS GLX",70500,1,15.64,1193,64.1,5,0,0,0,0,0,1,1.5
2015,"Audi","Audi Q3 2012-2015 35 TDI Quattro Premium Plus",64103,0,15.73,1968,174.33,5,0,0,0,1,0,0,19.9
2014,"Skoda","Skoda Octavia Elegance 1.8 TSI AT",76000,0,14.7,1798,177.5,5,0,0,0,0,0,1,10
2014,"Toyota","Toyota Etios Liva GD SP",104000,1,23.59,1364,67.06,5,0,0,0,1,0,0,3
2010,"Maruti","Maruti Swift 1.3 VXi",42001,1,16.1,1497,98.6,5,0,0,0,0,0,1,2.11
2014,"Mercedes-Benz","Mercedes-Benz B Class B180",37245,0,14.8,1595,120.7,5,0,0,0,0,0,1,11.96
2013,"Honda","Honda Amaze S Diesel",45000,1,27.4,1498,98.6,5,0,0,0,1,0,0,3.25
2012,"Hyundai","Hyundai Verna 1.6 SX",117837,1,22.32,1582,126.32,5,1,0,0,1,0,0,4.75
2014,"Renault","Renault Duster 85PS Diesel RxL Optional",30000,1,20.46,1461,83.8,5,0,0,0,1,0,0,5.95
2015,"Hyundai","Hyundai Creta 1.6 VTVT S",27057,1,15.29,1591,121.3,5,1,0,0,0,0,1,8.15
2016,"Maruti","Maruti Wagon R AMT VXI",8500,0,20.51,998,67,5,0,0,0,0,0,1,4.22
2010,"Mercedes-Benz","Mercedes-Benz New C-Class C250 Avantgarde",30500,0,11.74,1796,186,5,0,0,0,0,0,1,10.5
2012,"Audi","Audi A8 L 3.0 TDI quattro",56000,0,11.8,2967,246.7,5,0,0,0,1,0,0,45
2012,"Hyundai","Hyundai i10 Magna 1.1",44000,1,19.81,1086,68.05,5,1,0,0,0,0,1,2.9
2017,"Skoda","Skoda Rapid 1.6 MPI AT Style Black Package",10500,0,14.3,1598,103.52,5,0,0,0,0,0,1,8.9
2017,"Skoda","Skoda Superb Style 1.8 TSI AT",26000,0,14.67,1798,177.46,5,0,0,0,0,0,1,26
2018,"Hyundai","Hyundai i20 Active 1.2 SX",25166,1,17.19,1197,81.86,5,0,0,0,0,0,1,8.22
2014,"Honda","Honda Amaze VX i-DTEC",64000,1,25.8,1498,98.6,5,1,0,0,1,0,0,3.5
2004,"Maruti","Maruti Wagon R LXI",61000,1,18.9,998,67.1,5,1,0,0,0,0,1,1.25
2013,"Mahindra","Mahindra Verito 1.5 D4 BSIV",107000,1,21.03,1461,65,5,0,0,0,1,0,0,3.7
2018,"Mercedes-Benz","Mercedes-Benz New C-Class C 220d Avantgarde Edition C",29161,0,19.27,2143,167.62,5,0,0,0,1,0,0,39.41
2013,"Maruti","Maruti Wagon R VXI",32000,1,22.5,998,67.04,5,0,0,0,0,0,1,2.65
2015,"Nissan","Nissan Terrano XV Premium 110 PS Anniversary Edition",46173,1,19.01,1461,108.5,5,1,0,0,1,0,0,8.92
2017,"Mini","Mini Cooper Convertible S",26327,0,16.82,1998,189.08,4,0,0,0,0,0,1,35.67
2015,"Ford","Ford Figo Diesel",70436,1,0,1498,99,5,0,0,0,1,0,0,3.6
2007,"Tata","Tata Indica V2 DLS BSII",2e+05,1,17.2,1396,53.5,5,1,0,0,1,0,0,0.85
2016,"Chevrolet","Chevrolet Beat LT",60813,1,18.6,1199,76.8,5,1,0,0,0,0,1,3.32
2012,"Volkswagen","Volkswagen Polo Diesel Comfortline 1.2L",45000,1,22.07,1199,73.9,5,0,0,0,1,0,0,3.6
2016,"Maruti","Maruti Swift ZDi",64000,1,22.9,1248,74,5,0,0,0,1,0,0,6.8
2012,"Ford","Ford Figo Diesel EXI",41284,1,20,1399,68.05,5,0,0,0,1,0,0,2.5
2019,"Toyota","Toyota Innova Crysta 2.8 GX AT",14165,0,11.36,2755,171.5,7,0,0,0,1,0,0,19.64
